# Datetime, equity ($), cash flow ($)
2023-11-10 18:50:39.256982,1097.34,0
2023-11-10 18:56:11.785616,1098.09,0
2023-11-10 19:00:45.818397,1097.3,0
2023-11-10 19:05:13.319303,1097.06,0
2023-11-10 19:10:56.409078,1096.6,0
2023-11-10 19:16:12.920217,1096.35,0
2023-11-10 19:21:12.773146,1095.53,0
2023-11-10 19:26:07.667399,1097.34,0
2023-11-10 19:30:52.880518,1097.3,0
2023-11-10 19:36:26.394184,1097.3,0
2023-11-10 19:41:13.772150,1097.8,0
2023-11-10 19:46:46.424979,1098.58,0
2023-11-10 19:51:02.836963,1099.08,0
2023-11-10 19:56:05.040897,1098.17,0
2023-11-10 20:01:05.856900,1098.58,0
2023-11-10 20:06:08.497785,1098.09,0
2023-11-10 20:11:18.189589,1097.92,0
2023-11-10 20:16:27.102508,1096.77,0
2023-11-10 20:21:18.845999,1096.81,0
2023-11-10 20:25:32.252279,1096.6,0
2023-11-10 20:31:25.800749,1096.68,0
2023-11-10 20:35:50.083619,1096.4,0
2023-11-10 20:41:32.558560,1095.36,0
2023-11-10 20:45:47.460380,1095.36,0
2023-11-10 20:51:15.700594,1094.04,0
2023-11-10 20:55:24.158974,1093.96,0
2023-11-10 21:00:44.114709,1093.96,0
2023-11-10 21:05:21.930029,1093.96,0
2023-11-10 21:10:24.167834,1093.96,0
2023-11-10 21:15:48.954231,1093.96,0
2023-11-10 21:20:20.820303,1093.96,0
2023-11-10 21:25:34.773790,1093.96,0
2023-11-10 21:31:06.084675,1093.96,0
2023-11-10 21:35:33.584628,1093.96,0
2023-11-10 21:40:57.983860,1093.96,0
2023-11-10 21:45:35.610907,1093.96,0
2023-11-10 21:50:12.240724,1093.96,0
2023-11-10 21:55:18.565388,1093.96,0
2023-11-15 15:30:44.138325,1093.94,0
2023-11-15 15:36:12.833325,1093.94,0
2023-11-15 15:41:01.081612,1093.94,0
2023-11-15 15:46:15.190468,1093.94,0
2023-11-15 15:50:17.943389,1093.94,0
2023-11-15 15:56:04.358099,1093.94,0
2023-11-15 16:01:00.134234,1093.94,0
2023-11-15 16:06:01.141113,1093.94,0
2023-11-15 16:11:01.334435,1093.94,0
2023-11-15 16:16:12.757480,1093.94,0
2023-11-15 16:20:51.759568,1093.94,0
2023-11-15 16:25:40.168963,1093.94,0
2023-11-15 16:31:12.665078,1093.94,0
2023-11-15 16:36:14.501773,1093.94,0
2023-11-15 16:40:33.049662,1093.94,0
2023-11-15 16:45:31.628082,1093.94,0
2023-11-15 16:50:57.865021,1093.94,0
2023-11-15 16:55:57.060680,1093.94,0
